County|Voting unit|Q1: Yes|Q2: No|Q2: Yes|Q2: No 2|Q3: Yes|Q3: No|Q4: Yes|Q4: No
Piscataquis|Abbot|24|134|48|111|84|74|53|98
York|Acton|158|447|304|299|414|188|340|251
Washington|Addison|34|243|142|139|176|103|148|127
Kennebec|Albion|64|411|181|293|282|192|218|240
Washington|Alexander|9|113|58|64|71|51|71|51
York|Alfred|258|633|475|416|623|264|512|350
Aroostook|Allagash|7|43|28|23|34|17|23|27
Lincoln|Alna|29|242|183|86|202|68|167|85
Penobscot|Alton|23|133|65|91|100|56|71|78
Hancock|Amherst|6|84|45|46|55|36|47|43
Aroostook|Amity|0|0|0|0|0|0|0|0
Oxford|Andover|24|229|119|132|135|115|101|149
Somerset|Anson|70|358|192|238|267|161|185|230
Knox|Appleton|51|337|247|145|251|137|237|134
Aroostook|Aroostook Cty Townships|11|57|40|28|53|15|45|22
Sagadahoc|Arrowsic|32|209|184|58|204|37|186|46
York|Arundel|324|766|602|489|747|341|624|423
Aroostook|Ashland|46|180|95|132|165|63|124|98
Somerset|Athens|0|0|0|0|0|0|0|0
Piscataquis|Atkinson|11|73|32|51|39|45|34|48
Androscoggin|Auburn|1502|6114|4106|3493|4774|2781|3830|3466
Kennebec|Augusta|685|3100|2370|1417|2896|887|2427|1234
Hancock|Aurora|4|31|13|22|17|18|10|25
Franklin|Avon|17|76|36|57|53|40|47|41
Washington|Baileyville|35|214|125|125|161|89|130|115
Cumberland|Baldwin|58|253|141|167|191|119|163|144
Penobscot|Bangor|569|5402|4019|1966|4571|1382|4002|1722
Hancock|Bar Harbor|158|1424|1293|303|1385|204|1272|251
Washington|Baring Plt.|2|48|18|32|31|19|19|29
Sagadahoc|Bath|382|1943|1674|647|1884|436|1636|601
Washington|Beals|14|75|46|42|67|21|51|33
Piscataquis|Beaver Cove|6|58|24|40|42|22|30|33
Washington|Beddington|0|25|10|15|14|11|14|10
Waldo|Belfast|243|1986|1637|664|1760|455|1535|573
Kennebec|Belgrade|218|877|573|527|810|289|664|406
Waldo|Belmont|32|187|124|96|143|74|122|93
Kennebec|Benton|112|505|268|346|382|230|288|305
York|Berwick|368|982|704|641|945|394|787|523
Oxford|Bethel|87|750|495|337|618|216|514|302
York|Biddeford|1425|2933|2800|1561|3124|1210|2640|1549
Somerset|Bingham|27|168|95|101|121|74|94|96
Aroostook|Blaine|40|133|51|122|102|71|81|86
Hancock|Blue Hill|73|826|653|246|732|168|627|246
Lincoln|Boothbay|177|873|640|412|794|253|684|340
Lincoln|Boothbay Harbor|127|622|469|277|591|153|474|243
Sagadahoc|Bowdoin|93|603|294|401|426|267|382|292
Sagadahoc|Bowdoinham|116|809|573|352|671|252|603|298
Piscataquis|Bowerbank|0|0|0|0|0|0|0|0
Penobscot|Bradford|32|227|91|171|132|128|113|193
Penobscot|Bradley|36|270|161|144|207|100|165|133
Lincoln|Bremen|39|244|188|98|214|71|188|86
Penobscot|Brewer|210|1877|1064|1025|1371|709|1274|734
Aroostook|Bridgewater|29|114|54|89|86|57|66|74
Cumberland|Bridgton|210|1139|723|625|933|399|798|482
Somerset|Brighton Plt.|3|19|12|10|13|8|4|16
Lincoln|Bristol|91|844|576|353|728|200|602|305
Hancock|Brooklin|19|292|232|82|253|61|215|84
Waldo|Brooks|25|209|106|129|133|100|111|115
Hancock|Brooksville|19|330|243|103|283|62|243|88
Oxford|Brownfield|79|282|204|154|218|140|198|149
Piscataquis|Brownville|46|230|133|143|184|92|157|116
Cumberland|Brunswick|807|5357|4726|1469|5180|972|4579|1319
Oxford|Buckfield|47|414|198|264|237|224|210|243
Hancock|Bucksport|160|960|572|553|737|381|651|438
Penobscot|Burlington|15|71|31|54|38|47|28|54
Waldo|Burnham|44|195|94|146|134|105|113|123
York|Buxton|487|1525|1060|946|1323|683|1116|837
Oxford|Byron|17|38|18|36|33|21|26|26
Washington|Calais|64|579|345|298|432|205|365|259
Somerset|Cambridge|20|109|39|92|68|63|53|72
Knox|Camden|162|1742|1492|422|1659|239|1490|333
Somerset|Canaan|56|344|170|230|244|152|177|211
Oxford|Canton|40|170|86|124|119|91|97|111
Cumberland|Cape Elizabeth|344|3247|2675|912|3032|541|2651|770
Somerset|Caratunk|3|23|10|16|16|10|13|13
Aroostook|Caribou|394|1296|711|974|1177|507|943|697
Penobscot|Carmel|70|505|243|332|341|230|279|279
Franklin|Carrabassett Valley|37|221|161|98|220|38|193|62
Penobscot|Carroll Plt.|0|0|0|0|0|0|0|0
Franklin|Carthage|21|78|37|61|62|36|41|48
Aroostook|Cary Plt.|17|36|17|36|24|28|24|28
Cumberland|Casco|129|680|422|388|530|277|453|328
Hancock|Castine|28|296|230|93|282|43|249|64
Aroostook|Castle Hill|20|86|45|61|68|38|55|49
Aroostook|Caswell|12|35|23|23|31|15|27|19
Aroostook|Chapman|25|67|46|46|61|31|52|39
Penobscot|Charleston|23|275|92|207|145|150|121|160
Washington|Charlotte|9|77|38|47|56|30|45|40
Cumberland|Chebeague Island|34|208|181|60|200|41|159|65
Kennebec|Chelsea|105|423|260|268|333|196|289|223
Washington|Cherryfield|18|223|114|127|143|94|106|125
